shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2-1-2,41.7541756154728,140.716744113786,66
2-1-2,41.7536520826254,140.716568808229,67
2-1-2,41.7535196978985,140.716499099895,68
2-1-2,41.75323,140.716391428571,69
2-1-3,41.75323,140.7164,1
2-1-3,41.7534992916216,140.716493764578,2
2-1-3,41.7535838267678,140.716509857832,3
2-1-3,41.7552598440041,140.717118164717,4
2-1-3,41.7553834121877,140.717218048314,5
2-1-3,41.75644,140.7184,6
2-1-3,41.7583321523486,140.720490346609,7
2-1-3,41.7589016424263,140.720717281805,8
2-1-3,41.7594872415116,140.72088480429,9
2-1-3,41.7595969266895,140.720885299001,10
2-1-3,41.7597334753379,140.720828156144,11
2-1-3,41.760047350435,140.720597457068,12
2-1-3,41.760535,140.720237142857,13
2-1-3,41.7608809210908,140.719985971614,14
2-1-3,41.7626025842315,140.719023464339,15
2-1-3,41.7638361296228,140.71829221235,16
2-1-3,41.7640049781571,140.71833230163,17
2-1-3,41.7641160228261,140.718475100572,18
2-1-3,41.7642488245835,140.719023875046,19
2-1-3,41.7642928695804,140.719153203093,20
2-1-3,41.7643516666668,140.719271428572,21
2-1-3,41.7648024858222,140.720227283123,22
2-1-3,41.7650313170666,140.720667252704,23
2-1-3,41.7652582164152,140.721048242787,24
2-1-3,41.7657937930794,140.721741914749,25
2-1-3,41.766647790475,140.722779025868,26
2-1-3,41.76694,140.723082857143,27
2-1-3,41.7673562217253,140.723487158149,28
2-1-3,41.7680689333802,140.724231004715,29
2-1-3,41.769575,140.725688571429,30
2-1-3,41.7709346035001,140.726870181983,31
2-1-3,41.77226,140.727794285714,32
2-1-3,41.7725938400932,140.728029361888,33
2-1-3,41.7726636877291,140.728156009374,34
2-1-3,41.7726549048416,140.728354551043,35
2-1-3,41.7711987013468,140.7325566979,36
2-1-3,41.7711681671839,140.732717630441,37
2-1-3,41.7712151615647,140.73287124552,38
2-1-3,41.7713,140.733,39
2-1-3,41.7728069341326,140.734384156908,40
2-1-3,41.77352,140.7353,41
2-1-3,41.77578,140.7381,42
2-1-3,41.776701828555,140.739278197289,43
2-1-3,41.77788,140.7407,44
2-1-3,41.78044,140.744,45
2-1-3,41.78391,140.7483,46
2-1-3,41.7857970609847,140.75066983163,47
2-1-3,41.7859365617743,140.750768722507,48
2-1-3,41.78654,140.7509,49
2-1-3,41.7891084284891,140.751529302543,50
2-1-3,41.7891906655247,140.751591344207,51
2-1-3,41.7892636644157,140.751718428203,52
2-1-3,41.789275,140.751945714286,53
2-1-3,41.7889704214524,140.755019381932,54
2-1-3,41.78876,140.7581,55
2-1-3,41.7886897047162,140.759069517544,56
2-1-3,41.7880177332751,140.764228192847,57
2-1-3,41.78795,140.7651,58
2-1-3,41.7878500076143,140.767293228585,59
2-1-3,41.7873825190732,140.769372553335,60
2-1-3,41.78721,140.769917142857,61
2-1-3,41.7855133199747,140.773672950854,62
2-1-3,41.7845450679006,140.77561399716,63
2-1-3,41.78425,140.7764,64
2-1-3,41.7836935672041,140.778195184353,65
2-1-3,41.7833960638409,140.778961830521,66
2-1-3,41.78328,140.779265714286,67
2-1-3,41.7827107943694,140.780455470085,68
2-1-3,41.7824285282027,140.781129608318,69
2-1-3,41.78196,140.7823,70
2-1-3,41.7816724879904,140.783007329232,71
2-1-3,41.7811674698072,140.783804499871,72
2-1-3,41.7809479544758,140.784087355695,73
2-1-3,41.7803179235701,140.784741698292,74
2-1-3,41.7801251590236,140.785020502526,75
2-1-3,41.78009,140.7851,76
2-1-3,41.7798291657773,140.785611345128,77
2-1-3,41.7797671345724,140.785887876211,78
2-1-3,41.7797243939575,140.786115105711,79
2-1-3,41.7803446740896,140.788031806782,80
2-1-3,41.7806839508307,140.788866877556,81
2-1-3,41.7810462042216,140.789626613671,82
2-1-3,41.78106447179,140.789871802167,83
2-1-3,41.7811,140.79,84
5-1-10,41.781115,140.790188571429,1
5-1-10,41.7810677031826,140.78989107399,2
5-1-10,41.7810207160945,140.789655505208,3
5-1-10,41.7804399282458,140.788349998583,4
5-1-10,41.7797034136993,140.786175863647,5
5-1-10,41.7797211348641,140.785911112322,6
5-1-10,41.7797783877233,140.785617905971,7
5-1-10,41.77997,140.7852,8
5-1-10,41.7802549178554,140.784741756494,9
5-1-10,41.780793954248,140.78419802633,10
5-1-10,41.7809877156389,140.783994178445,11
5-1-10,41.7811927161706,140.783711555426,12
5-1-10,41.7816955015401,140.782928466797,13
5-1-10,41.78182,140.7826,14
5-1-10,41.7826265363863,140.780568151964,15
5-1-10,41.783365,140.778994285714,16
5-1-1,41.781115,140.790188571429,1
5-1-1,41.7810677031826,140.78989107399,2
5-1-1,41.7810207160945,140.789655505208,3
5-1-1,41.7804399282458,140.788349998583,4
5-1-1,41.7797034136993,140.786175863647,5
5-1-1,41.7797211348641,140.785911112322,6
5-1-1,41.7797783877233,140.785617905971,7
5-1-1,41.77997,140.7852,8
5-1-1,41.7802549178554,140.784741756494,9
5-1-1,41.780793954248,140.78419802633,10
5-1-1,41.7809877156389,140.783994178445,11
5-1-1,41.7811927161706,140.783711555426,12
5-1-1,41.7816955015401,140.782928466797,13
5-1-1,41.78182,140.7826,14
5-1-1,41.7826265363863,140.780568151964,15
5-1-1,41.783365,140.778994285714,16
5-1-1,41.7835923154802,140.778361568614,17
5-1-1,41.78414,140.7766,18
5-1-1,41.7842983229547,140.776135364233,19
5-1-1,41.7844630674442,140.775743732616,20
5-1-1,41.7848218241598,140.774976620838,21
5-1-1,41.7852425717208,140.77415044226,22
5-1-1,41.7857980658047,140.772975634711,23
5-1-1,41.78708,140.7701,24
5-1-1,41.7873080197215,140.769545905849,25
5-1-1,41.7878130110735,140.767286609541,26
5-1-1,41.7879,140.7655,27
5-1-1,41.787957730762,140.764431371416,28
5-1-1,41.78862,140.7594,29
5-1-1,41.7886917018644,140.758806428255,30
5-1-1,41.7887609463995,140.757808704703,31
5-1-1,41.788935431387,140.755071043968,32
5-1-1,41.78914,140.7531,33
5-1-1,41.7892534586465,140.751854986409,34
5-1-1,41.7892299149582,140.751696854128,35
