stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0092,函館税務署入口,3,79,0.9436,0.7135,0.5185,41.752647,140.701813,207.0,757022873,264.6
S0093,函館空港,7,301,0.9994,0.9917,0.9686,41.775008,140.817516,31.6,5518831827,29.6
S0094,函館自動車学校前,2,75,0.8806,0.6923,0.5709,41.752647,140.701813,207.0,757022873,264.6
S0095,函館記念病院,3,100,0.8806,0.8199,0.6965,41.752647,140.701813,207.0,757022873,264.6
S0096,函館青年寮前,1,46,0.8031,0.4927,0.3697,41.752647,140.701813,207.0,757022873,264.6
S0097,函館駅前,36,1594,1.0,1.0,1.0,41.772365,140.727897,1.4,6204898850,16.2
S0098,函館高専前,7,291,0.9998,0.9917,0.9648,41.752647,140.701813,207.0,757022873,264.6
S0099,函館高等支援学校,7,263,0.9994,0.9889,0.9114,41.838911,140.742089,45.4,5809002691,21.8
S0100,北中学校通,1,43,0.8031,0.5105,0.3193,41.827557,140.746552,38.0,5807275454,23.9
S0101,北大前,1,44,0.8031,0.4551,0.3935,41.827557,140.746552,38.0,5807275454,23.9
S0102,北大川,3,98,0.9561,0.8134,0.6177,41.827557,140.746552,38.0,5807275454,23.9
S0103,北大裏,3,116,0.9561,0.8908,0.6594,41.827557,140.746552,38.0,5807275454,23.9
S0104,北斗市役所通,1,33,0.3935,0.3935,0.3697,41.827557,140.746552,38.0,5807275454,23.9
S0105,北斗消防署,1,33,0.3935,0.3935,0.3697,41.87789,140.649071,23.9,505082286,5481.0
S0106,北浜町,2,95,0.9276,0.7923,0.6846,41.798096,140.727478,1.9,12787489392,3.3
S0107,北美原クリニック前,6,260,0.9994,0.9897,0.9043,41.827557,140.746552,38.0,5807275454,23.9
S0108,北美原小学校前,6,224,0.9987,0.9817,0.8926,41.827557,140.746552,38.0,5807275454,23.9
S0109,北美原２丁目,6,224,0.9987,0.9817,0.8926,41.82877,140.75,45.4,1911809552,19.1
