route_id,direction,stop_sequence,stop_name
43A(ロープウェイ前経由),0,4,昭和高台
43A(ロープウェイ前経由),0,5,桐花通中央
43A(ロープウェイ前経由),0,6,清尚学院・高台通り
43A(ロープウェイ前経由),0,7,港町１丁目
43A(ロープウェイ前経由),0,8,港小学校前
43A(ロープウェイ前経由),0,9,市立函館病院
43A(ロープウェイ前経由),0,10,港町１丁目
43A(ロープウェイ前経由),0,11,開発建設部前
43A(ロープウェイ前経由),0,12,大野新道入口
43A(ロープウェイ前経由),0,13,亀田町
43A(ロープウェイ前経由),0,14,ガス会社前
43A(ロープウェイ前経由),0,15,宮前町
43A(ロープウェイ前経由),0,16,松川町
43A(ロープウェイ前経由),0,17,中の橋
43A(ロープウェイ前経由),0,18,大縄町
43A(ロープウェイ前経由),0,19,昭和通
43A(ロープウェイ前経由),0,20,若松町
43A(ロープウェイ前経由),0,21,函館駅前
43A(ロープウェイ前経由),0,22,市役所前
43A(ロープウェイ前経由),0,23,金融公庫前
43A(ロープウェイ前経由),0,24,銀座通
43A(ロープウェイ前経由),0,25,十字街
43A(ロープウェイ前経由),0,26,ロープウェイ前
43A(ロープウェイ前経由),0,27,元町（市内）
43A(ロープウェイ前経由),0,28,公会堂前
43A(ロープウェイ前経由),0,29,弥生町
43A(ロープウェイ前経由),0,30,幸坂
43A(ロープウェイ前経由),0,31,入舟町
43A(ロープウェイ前経由),0,32,称名寺通
43A(ロープウェイ前経由),0,33,高竜寺前
43A(ロープウェイ前経由),0,34,船見町・外国人墓地
43A,0,1,船見町・外国人墓地前
43A,0,2,高竜寺前
43A,0,3,称名寺通
43A,0,4,入舟町
43A,0,5,幸坂
43A,0,6,弥生町
43A,0,7,公会堂前
43A,0,8,元町（市内）
43A,0,9,十字街
43A,0,10,銀座通
43A,0,11,金融公庫前
43A,0,12,市役所前
43A,0,13,棒二森屋前
43A,0,14,函館駅前
43A,0,15,若松町
43A,0,16,昭和通
43A,0,17,大縄町
43A,0,18,中の橋
43A,0,19,松川町
43A,0,20,宮前町
43A,0,21,ガス会社前
43A,0,22,亀田町
43A,0,23,大野新道入口
43A,0,24,開発建設部前
43A,0,25,港町１丁目
43A,0,26,港小学校前
43A,0,27,市立函館病院
43A,0,28,港町１丁目
43A,0,29,清尚学院・高台通り
43A,0,30,桐花通中央
43A,0,31,昭和高台
43A,0,32,昭和小学校前
43A,0,33,昭和２丁目
43A,0,34,昭和営業所前
43C,0,1,昭和営業所前
43C,0,2,昭和２丁目
43C,0,3,昭和小学校前
43C,0,4,昭和高台
43C,0,5,桐花通中央
43C,0,6,清尚学院高等学校前（高台通）
43C,0,7,高台坂下
43C,0,8,五稜郭駅前
43C,0,9,大野新道入口
43C,0,10,亀田町
43C,0,11,ガス会社前
43C,0,12,函館駅前
43C,0,13,十字街
43C,0,14,西高校前
43E,0,1,船見町・外国人墓地前
43E,0,2,高竜寺前
43E,0,3,称名寺通
43E,0,4,入舟町
43E,0,5,幸坂
43E,0,6,弥生町
43E,0,7,公会堂前
43E,0,8,元町（市内）
43E,0,9,十字街
43E,0,10,銀座通
43E,0,11,金融公庫前
43E,0,12,市役所
43E,0,13,棒二森屋前
43E,0,14,函館駅前
43E,0,15,若松町
43E,0,16,昭和通
43E,0,17,大縄町
43E,0,18,中の橋
43E,0,19,松川町
43E,0,20,宮前町
43E,0,21,ガス会社前
43E,0,22,亀田町
43E,0,23,大野新道入口
43E,0,24,ＪＲ車両所前
43E,0,25,五稜郭駅前
43E,0,26,高台坂下
43E,0,27,清尚学院・高台通り
43E,0,28,桐花通中央
43E,0,29,昭和高台
43E,0,30,昭和小学校前
43E,0,31,昭和２丁目
43E,0,32,昭和営業所前
43E,0,33,亀田外郭通
43E,0,34,北美原クリニック前
43E,0,35,石川町中央
43E,0,36,石川町会館前
43E,0,37,函館石川郵便局
43E,0,38,支援学入口
43E,0,39,函館高等支援学校
43F,0,1,久根別
43F,0,2,久根別小学校前
43F,0,3,東久根別
43F,0,4,七重浜８丁目
43F,0,5,追分福祉センター前
43F,0,6,追分グリーンヴィラ
43F,0,7,浜分小学校前
43F,0,8,七重浜５丁目
43F,0,9,七重浜駅通
43F,0,10,桜ヶ丘団地前
43F,0,11,北大裏
43F,0,12,東港
43F,0,13,港小学校前
43F,0,14,市立函館病院
43F,0,15,港町１丁目
43F,0,16,開発建設部前
43F,0,17,大野新道入口
43F,0,18,亀田町
43F,0,19,ガス会社前
43F,0,20,宮前町
43F,0,21,松川町
43F,0,22,中の橋
43F,0,23,大縄町
43F,0,24,昭和通
43F,0,25,若松町
43F,0,26,函館駅前
43F,0,27,市役所前
43F,0,28,金融公庫前
43F,0,29,銀座通
43F,0,30,十字街
43F,0,31,元町（市内）
43F,0,32,公会堂前
43F,0,33,弥生町
43F,0,34,幸坂
43F,0,35,入舟町
43F,0,36,称名寺通
43F,0,37,高竜寺前
43F,0,38,船見町・外国人墓地前
47,0,1,函館駅前
47,0,2,松風町
47,0,3,新川町
47,0,4,千歳町
47,0,5,昭和橋
47,0,6,堀川町
47,0,7,千代台
47,0,8,中央病院前
47,0,9,五稜郭
47,0,10,テーオーデパート前
47,0,11,教育大通
47,0,12,白鳥町
47,0,13,函館盲学校前
47,0,14,亀田小学校前
47,0,15,清尚学院高等学校前(高台通)
47,0,16,桐花通中央
47,0,17,昭和高台
47,0,18,昭和小学校前
47,0,19,昭和２丁目
47,0,20,昭和営業所前
47,0,21,昭和１丁目
47,0,22,昭和ターミナル
47,0,23,亀田中学校前
47,0,24,亀田支所前
47,0,25,中央小学校前
47,0,26,神山通
47,0,27,鍛治２丁目
47,0,28,鍛治団地
47,0,29,西堀病院前
47,0,30,鍛治さくら認定こども園
47,0,31,五稜郭公園裏
47,0,32,中央図書館前
47,0,33,五稜郭公園入口
47,0,34,五稜郭
47,0,35,中央病院前
47,0,36,千代台
47,0,37,堀川町
47,0,38,昭和橋
47,0,39,千歳町
47,0,40,新川町
47,0,41,松風町
47,0,42,棒二森屋前
47,0,43,函館駅前
47A,0,1,昭和営業所前
47A,0,2,昭和２丁目
47A,0,3,昭和小学校前
47A,0,4,昭和高台
47A,0,5,桐花通中央
47A,0,6,清尚学院高等学校前（高台通）
47A,0,7,亀田小学校前
47A,0,8,函館盲学校前
47A,0,9,白鳥町
47A,0,10,教育大通
47A,0,11,テーオーデパート前
47A,0,12,五稜郭
47A,0,13,中央病院前
47A,0,14,千代台
47A,0,15,堀川町
47A,0,16,昭和橋
47A,0,17,千歳町
47A,0,18,新川町
47A,0,19,松風町
47A,0,20,棒二森屋前
47A,0,21,函館駅前
48,0,1,函館駅前
48,0,2,松風町
48,0,3,新川町
48,0,4,千歳町
48,0,5,昭和橋
48,0,6,堀川町
48,0,7,千代台
48,0,8,中央病院前
48,0,9,五稜郭
48,0,10,テーオーデパート前
48,0,11,教育大通
48,0,12,白鳥町
48,0,13,函館盲学校前
48,0,14,亀田小学校前
48,0,15,清尚学院・高台通り
48,0,16,桐花通中央
48,0,17,昭和高台
48,0,18,昭和小学校前
48,0,19,昭和２丁目
48,0,20,昭和営業所前
48,0,21,昭和１丁目
48,0,22,昭和ターミナル
48,0,23,亀田中学校前
48,0,24,亀田支所前
48,0,25,中央小学校前
48,0,26,神山通
48,0,27,鍛治２丁目
48,0,28,鍛治団地
48,0,29,西堀病院前
48,0,30,鍛治さくら認定こども園
48,0,31,五稜郭公園裏
48,0,32,中央図書館前
48,0,33,五稜郭公園入口
48,0,34,五稜郭
48,0,35,中央病院前
48,0,36,中部高校裏
48,0,37,千代台
48A,0,1,昭和営業所前
48A,0,2,昭和２丁目
48A,0,3,昭和小学校前
48A,0,4,昭和高台
48A,0,5,桐花通中央
48A,0,6,清尚学院・高台通り
48A,0,7,亀田小学校前
48A,0,8,函館盲学校前
48A,0,9,白鳥町
48A,0,10,教育大通
48A,0,11,テーオーデパート前
48A,0,12,五稜郭
48A,0,13,五稜郭
48A,0,14,中央病院前
48A,0,15,中部高校裏
48A,0,16,千代台
5,0,1,函館駅前
5,0,2,五稜郭タワー
5,0,3,花びしホテル前
5,0,4,湯の川温泉
5,0,5,熱帯植物園前
5,0,6,函館空港
5,0,7,トラピスチヌ前
51,0,1,昭和ターミナル
51,0,2,新都市病院正門前
51,0,3,石川学園台
51,0,4,北美原クリニック前
51,0,5,石川町中央・藤岡眼科
51,0,6,石川町会館前
51,0,7,石川町第一公園
51,0,8,北美原２丁目
51,0,9,美原台団地
51,0,10,美原台団地入口
51,0,11,美原台東
51,0,12,北美原小学校前
51,0,13,特別支援学校前
51,0,14,附属中学校前
51,0,15,美原３丁目・金物
51,0,16,渡島総合振興局前
51,0,17,函館地方気象台
51,0,18,亀田支所前
51,0,19,亀田支所前
51,0,20,富岡
51,0,21,医師会病院前
51,0,22,田家入口
51,0,23,警察署前
51,0,24,五稜郭公園入口
51,0,25,五稜郭・大村美容
51,0,26,五稜郭
51,0,27,中央病院前
51,0,28,千代台
51,0,29,堀川町
51,0,30,昭和橋
51,0,31,千歳町
51,0,32,新川町
51,0,33,松風町
51,0,34,棒二森屋前
51,0,35,函館駅前
51A,0,1,昭和ターミナル
51A,0,2,新都市病院正門前
51A,0,3,石川学園台
51A,0,4,北美原クリニック前
51A,0,5,石川町中央
51A,0,6,石川町会館前
51A,0,7,石川町第一公園
51A,0,8,北美原２丁目
51A,0,9,美原台団地
51A,0,10,美原台団地入口
51A,0,11,美原台東
51A,0,12,北美原小学校前
51A,0,13,特別支援学校前
51A,0,14,附属中学校前
51A,0,15,美原３丁目
51A,0,16,渡島総合振興局前
51A,0,17,函館地方気象台
51A,0,18,亀田支所前
51A,0,19,富岡
51A,0,20,医師会病院前
51A,0,21,田家入口
51A,0,22,警察署前
51A,0,23,五稜郭公園入口
51A,0,24,五稜郭
51A,0,25,中央病院前
51A,0,26,中部高校裏
51A,0,27,千代台
51B,0,1,昭和ターミナル
51B,0,2,新都市病院前
51B,0,3,蔦屋書店前
51B,0,4,桔梗町４１８番地
51B,0,5,藤岡眼科前
51B,0,6,石川町中央
51B,0,7,石川町会館前
51B,0,8,石川町第一公園
51B,0,9,北美原２丁目
51B,0,10,美原台団地
51B,0,11,美原台団地入口
51B,0,12,美原台東
51B,0,13,北美原小学校前
51B,0,14,特別支援学校前
51B,0,15,附属中学校前
51B,0,16,美原３丁目
51B,0,17,渡島総合振興局前
51B,0,18,函館地方気象台
51B,0,19,亀田支所前
51B,0,20,富岡
51B,0,21,医師会病院前
51B,0,22,田家入口
51B,0,23,警察署前
51B,0,24,五稜郭公園入口
51B,0,25,五稜郭
51B,0,26,中央病院前
51B,0,27,千代台
51B,0,28,堀川町
51B,0,29,昭和橋
51B,0,30,千歳町
51B,0,31,新川町
51B,0,32,松風町
51B,0,33,棒二森屋前
51B,0,34,函館駅前
53,0,1,蔦屋書店前
53,0,2,桔梗町４１８番地
53,0,3,新都市病院前
53,0,4,昭和ターミナル
53,0,5,亀田外郭通
53,0,6,特別支援学校前
53,0,7,附属中学校前
53,0,8,美原３丁目
53,0,9,渡島総合振興局前
53,0,10,函館地方気象台
53,0,11,亀田支所前
53,0,12,富岡
53,0,13,医師会病院前
53,0,14,田家入口
53,0,15,警察署前
53,0,16,五稜郭公園入口
53,0,17,五稜郭
53,0,18,テーオーデパート前
53,0,19,函館税務署入口
53,0,20,共愛会病院前
53,0,21,中の橋
53,0,22,大縄町
53,0,23,昭和通
53,0,24,若松町
53,0,25,函館駅前
53,0,26,市役所前
53,0,27,旭町
53,0,28,サン・リフレ函館前
53,0,29,栄町
53,0,30,宝来町
53,0,31,函館公園通
53,0,32,函館公園
53,0,33,青柳町
53,0,34,谷地頭
53,0,35,谷地頭温泉
55,0,1,赤川
55,0,2,下赤川
55,0,3,赤川四区
55,0,4,赤川貯水池
55,0,5,赤川三区
55,0,6,赤川小学校前
55,0,7,浄水場下
55,0,8,低区貯水池
55,0,9,赤川入口
55,0,10,赤川1丁目
55,0,11,赤川通
55,0,12,函館地方気象台
55,0,13,亀田支所前
55,0,14,亀田支所前
55,0,15,富岡
55,0,16,医師会病院前
55,0,17,田家入口
55,0,18,警察署前
55,0,19,五稜郭公園入口
55,0,20,五稜郭
55,0,21,中央病院前
55,0,22,千代台
55,0,23,堀川町
55,0,24,昭和橋
55,0,25,千歳町
55,0,26,新川町
55,0,27,松風町
55,0,28,棒二森屋前
55,0,29,函館駅前
55A,0,1,赤川
55A,0,2,下赤川
55A,0,3,赤川四区
55A,0,4,はこだて未来大学
55A,0,5,赤川貯水池
55A,0,6,赤川三区
55A,0,7,赤川小学校前
55A,0,8,浄水場下
55A,0,9,低区貯水池
55A,0,10,赤川入口
55A,0,11,赤川1丁目
55A,0,12,赤川通
55A,0,13,函館地方気象台
55A,0,14,亀田支所前
55A,0,15,富岡
55A,0,16,医師会病院前
55A,0,17,田家入口
55A,0,18,警察署前
55A,0,19,五稜郭公園入口
55A,0,20,五稜郭
55A,0,21,中央病院前
55A,0,22,千代台
55A,0,23,堀川町
55A,0,24,昭和橋
55A,0,25,千歳町
55A,0,26,新川町
55A,0,27,松風町
55A,0,28,棒二森屋前
55A,0,29,函館駅前
55B,0,1,函館駅前
55B,0,2,松風町
55B,0,3,新川町
55B,0,4,千歳町
55B,0,5,昭和橋
55B,0,6,堀川町
55B,0,7,千代台
55B,0,8,中央病院前
55B,0,9,五稜郭
55B,0,10,五稜郭公園入口
55B,0,11,警察署前
55B,0,12,田家入口
55B,0,13,医師会病院前
55B,0,14,富岡
55B,0,15,亀田支所前
55B,0,16,函館地方気象台
55B,0,17,赤川通
55B,0,18,赤川1丁目
55B,0,19,赤川入口
55B,0,20,低区貯水池
55B,0,21,浄水場下
55B,0,22,赤川小学校前
55B,0,23,赤川３区
55B,0,24,赤川貯水池
55B,0,25,はこだて未来大学
55B,0,26,赤川４区
55B,0,27,下赤川
55B,0,28,赤川
55B,0,29,道南四季の杜公園
55C,0,1,元町（市内）
55C,0,2,十字街
55C,0,3,函館駅前
55C,0,4,松風町
55C,0,5,新川町
55C,0,6,千歳町
55C,0,7,昭和橋
55C,0,8,堀川町
55C,0,9,千代台
