node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,dist_to_mirai_m,dist_to_station_m,cluster_id
292277759,140.7182699,41.82541,7.938757594464781,4,1,0,0,4425.891081814914,5936.160306175811,2
292278129,140.7158773,41.8144377,4.048441290552642,2,4,0,0,5216.223594768674,4768.667658293332,2
292278207,140.7188826,41.8116177,3.947105193462943,6,6,0,0,5215.286818288785,4413.873116917536,2
292278224,140.7239565,41.8068327,3.0844386684982754,8,2,0,3,5284.699924611322,3832.2426819664743,2
292278292,140.7147527,41.8103848,2.3536879224828753,6,6,0,0,5564.718065342056,4351.8036966905165,2
292278595,140.7718093,41.7765155,7.484946402462692,6,5,1,0,7291.969214206047,3642.1062033376743,2
292278598,140.7804463,41.7784681,7.0356808504904595,6,10,1,12,7150.71069206555,4377.835461544841,5
292278600,140.7831044,41.7792116,4.804413926024401,6,9,1,12,7106.803155708736,4607.399707571914,5
292278841,140.7668471,41.7826523,12.775378710875032,10,3,1,1,6599.431622549383,3398.68021733462,2
292278844,140.7718785,41.775967,7.56249444957569,6,5,1,0,7353.128016788437,3640.765479503658,2
292279040,140.77412,41.7882829,13.837667481416975,6,5,1,2,6002.578959995061,4190.901644582139,2
292279043,140.7763965,41.789877,10.798983587661628,6,3,1,4,5848.238931198271,4436.415309261283,2
292279051,140.7800824,41.778339,7.655359642553794,5,10,1,12,7160.297732916506,4345.990900648085,5
292279054,140.7844049,41.7794745,4.57060761467062,6,8,1,12,7099.019195993712,4718.025675650297,5
292279094,140.7568341,41.8012685,16.245771164067587,8,4,0,0,4608.287195095265,3986.9334274860953,2
292279423,140.7324929,41.8128824,6.7146511944736025,6,5,0,0,4314.252433903101,4505.092055296182,2
292279432,140.7300611,41.8101232,5.141331115214116,6,2,0,3,4677.241936915132,4186.72498501727,2
292279435,140.7280319,41.8089596,4.115372086603432,6,0,0,4,4884.584478207483,4053.9954142329266,2
292279436,140.7269279,41.8083035,3.560669248794488,8,0,0,4,4999.4565716369925,3982.084257396293,2
292279439,140.7326365,41.8123912,6.472203500269865,8,5,0,0,4347.6591322702125,4451.709323952417,2
292279454,140.7331679,41.8114938,6.752717708814835,6,5,0,0,4395.732415883542,4356.457178886402,2
292279474,140.7353707,41.8135817,10.516494080565966,6,6,0,1,4101.144417439813,4607.809788109393,2
292279475,140.7344893,41.8132523,9.071484339315289,6,5,0,1,4175.781935133051,4562.4330689573035,2
292279507,140.7291557,41.8096192,4.684114655236908,6,1,0,4,4768.435240265661,4128.377270481021,2
292279508,140.7255014,41.8076306,3.274426335240066,6,1,0,4,5133.515117000371,3911.7776533731944,2
292279602,140.7389965,41.8031331,9.348426164438536,6,6,0,1,4902.918702439229,3525.3986348351477,2
292279666,140.7416141,41.7974966,7.5844324859205825,8,6,3,1,5375.377876003071,2998.737590890018,7
292279667,140.7416458,41.7991051,8.869546722539395,6,5,2,1,5210.22263818458,3166.0705659406963,5
292279668,140.7416507,41.800578,10.031967010648676,8,5,2,1,5060.62183735888,3319.6626231724576,5
292279679,140.736282,41.799153,5.292451914457309,6,6,2,2,5398.47335933137,3042.2032210675143,5
292279685,140.7420198,41.8087738,15.354733247358114,8,8,0,1,4233.329741726672,4195.918357313123,2
292279744,140.7385518,41.7969249,5.555527647621071,6,11,4,1,5536.2502601303995,2852.993307561811,7
292279915,140.73881,41.8005949,8.289943315272794,8,2,0,1,5160.249532750242,3249.4544731155984,0
292280324,140.7341886,41.8005594,4.762222310875852,5,2,0,1,5346.398601490116,3162.2209506875197,2
292280677,140.7363155,41.8005439,6.1256553784395695,4,4,1,1,5261.2127313582205,3193.565505035754,5
292280695,140.736264,41.7984389,4.863992769855629,6,7,2,2,5469.333253044575,2964.6052735005715,5
292280735,140.7362863,41.7995833,5.545029019949145,6,5,2,1,5356.145385897214,3088.885353723215,5
292280769,140.7518425,41.7924522,10.539218518076252,8,40,0,7,5650.951793029436,2966.0770611784255,2
292281190,140.7244795,41.7662442,1.9826189298260972,6,5,0,10,9124.04123402644,750.190754393616,1
292281191,140.7260352,41.7677802,1.986275650921139,8,20,0,9,8917.314065963952,545.6688000318112,1
292281193,140.7296643,41.7722394,2.185021794555857,6,98,2,8,8345.851880559065,139.67448353520282,1
292281311,140.7226329,41.7646323,2.4855867097214355,6,0,0,4,9348.213847081914,976.8812357437512,6
292281667,140.7146358,41.7664204,2.54751753979205,8,0,0,5,9448.671147672158,1291.255741333554,6
292281669,140.7138947,41.7657818,7.049550463942868,6,0,0,5,9539.751565635845,1380.6899445618185,6
292281740,140.7190754,41.7684765,1.152622867316356,8,4,0,5,9080.723170214418,859.6263936739068,6
292281742,140.7148663,41.7660499,2.687214270017838,6,0,0,5,9476.648437292248,1297.226399713267,6
292281786,140.7163824,41.7667926,2.0481740626781524,6,1,0,3,9346.639732315016,1147.3828171097982,6
292281837,140.7175171,41.7653664,2.3820212366006124,6,0,0,4,9447.8188332474,1170.8113807528257,6
292281854,140.7204008,41.7672189,1.4563660005728136,8,4,0,6,9160.261264864876,856.3869131363712,6
292284076,140.7280929,41.7865062,2.2342219904154423,10,2,1,1,6956.521570569725,1559.4406540239097,2
292284326,140.7305272,41.7864104,1.42893999159043,6,4,1,2,6875.709316862445,1562.7489895202991,2
292284861,140.7868515,41.7834962,13.0443015956642,6,5,1,3,6708.417664303873,5007.403711855703,6
292285037,140.7883921,41.7815849,6.647649602171652,8,5,0,3,6945.724611321221,5084.219239607977,6
292285154,140.7890335,41.7841698,14.571503572789668,6,1,0,6,6682.548748685228,5200.335112589893,6
292286981,140.7295639,41.8512417,51.56389227301197,8,1,0,2,3253.6854154299053,8752.486886358765,0
292286992,140.7309242,41.8408893,41.66026169975969,6,2,1,1,2979.9669069271317,7605.211508292768,0
292286994,140.7311188,41.8367473,37.62361138094575,6,2,0,1,3019.208282152814,7145.841863093648,0
292287009,140.7311648,41.832857,31.78428938674502,6,5,0,5,3128.819640002917,6714.074353463178,0
292287012,140.73132,41.8303376,29.007797766941835,6,5,0,5,3219.3535625832947,6434.922226962382,0
