node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,cluster_id
12215779939,140.7338062,41.7773121,2.414604293856658,6,16,3,2,2
12215779940,140.7338794,41.7774029,2.4196797275284165,6,16,3,2,2
12215779941,140.7340535,41.7776062,2.432853099302381,2,15,3,2,0
12215779944,140.7319635,41.7765271,2.249937018858146,6,42,2,2,3
12215779950,140.7329105,41.7787541,2.1302919989660167,6,13,1,1,3
12215779951,140.7331759,41.7792087,2.2244207729670116,6,12,1,1,3
12215779953,140.7345933,41.7782517,2.5241716815530193,6,13,1,1,3
12215779956,140.7349039,41.7786226,2.642012401743432,6,12,1,1,3
12215779957,140.7351389,41.7788963,2.685601314182448,6,11,1,1,3
12215779960,140.7336013,41.7799643,2.4856443347166928,6,8,1,1,3
12215779961,140.7334005,41.779607,2.362241604363788,6,9,1,1,3
12215779964,140.7328625,41.7794073,2.1485774676740923,6,10,1,1,3
12215779969,140.7326907,41.7783687,2.1248652830064834,2,14,2,1,0
12215779982,140.7341394,41.7777069,2.439318575395706,2,15,3,2,0
12215779995,140.734908,41.776033,2.832293950015168,2,16,2,4,0
12215779996,140.7369551,41.7770596,3.1576878005566424,2,14,3,2,0
12215779998,140.7374764,41.7781475,3.2407544378865394,2,10,2,1,0
12215779999,140.737479,41.7792975,3.1644953884798994,6,8,2,1,3
12215780000,140.7365071,41.7805154,2.945937949700881,2,7,1,0,0
12215780001,140.7363774,41.7803557,2.98909902716853,2,7,1,0,0
12215780002,140.736642,41.7806733,2.8663340210419483,2,7,1,0,0
12215780003,140.7369249,41.7809961,2.775436834565533,2,7,1,1,0
12215780004,140.7374786,41.7816529,2.9823265532285705,6,9,1,5,0
12215780005,140.737871,41.782108,3.131796875560634,6,8,1,5,0
12215780006,140.7380798,41.7823543,3.210194063809447,6,8,1,5,0
12215780007,140.7380812,41.7800535,3.464672117509265,6,9,2,1,3
12218395567,140.7376767,41.7842233,3.109554611526937,6,8,1,5,0
12218395569,140.7382875,41.7841527,3.3424570632129753,6,8,1,5,0
12218395575,140.7369738,41.7843092,2.8417697074982025,2,9,2,5,0
12218395579,140.7389565,41.7840216,3.594825785959622,2,8,1,5,7
12218395580,140.7390705,41.7839869,3.637203774566747,2,8,1,5,7
12218395594,140.7371231,41.7812308,2.849605586334099,2,9,1,1,7
12218395595,140.7361839,41.7832744,2.621159562153093,2,8,2,5,7
12218395596,140.7361896,41.7833645,2.6199292849814495,2,8,2,5,0
12218395599,140.7368514,41.7835698,2.7568995051353777,2,7,1,5,7
12218413004,140.7374376,41.785034,3.0580784333854383,6,10,1,5,0
12218413006,140.7363888,41.786251,2.807500474207046,2,14,2,4,0
12218413015,140.7350293,41.7866462,2.4289988705129093,6,14,2,4,3
12218413019,140.7345128,41.7859853,2.3625477176173986,6,10,2,2,3
12218413022,140.7326867,41.7856937,2.113012986678308,6,6,2,2,3
12218413028,140.7353154,41.7848529,2.549814708647824,6,12,3,2,2
12218413029,140.7347708,41.78466,2.500866430083508,6,11,3,2,2
12218413032,140.7334328,41.7847554,2.308462193212038,6,7,2,1,3
12218413033,140.7332134,41.7846665,2.2901603560502215,6,7,2,2,3
12218413041,140.7334273,41.7846495,2.321140764343979,2,7,2,2,0
12218413042,140.7328945,41.7846881,2.244446747299262,8,5,1,2,3
12218413045,140.7316242,41.7821198,2.0346017915284893,2,7,2,1,0
12218413084,140.7354491,41.7851304,2.532667598978233,2,11,2,2,0
12218413093,140.7325031,41.7850551,2.1451931982671906,6,5,1,3,3
12218413094,140.7325711,41.7852897,2.124628394480545,6,5,1,2,3
12218413095,140.7326337,41.7855044,2.107061174353997,6,6,2,2,3
